OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,ZCTA5CE10,Total,X,Y,geometry
14043,0030077338,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF HUMBLE,19002 MCKAY DRIVE,HUMBLE,TX,77338,NOT AVAILABLE,(281) 446-6148,REHABILITATION,OPEN,90,HARRIS,48201,USA,29.993735220000076,-95.27732929999996,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY,2014-03-12,http://www.healthsouthhumble.com/,100245,NOT AVAILABLE,48,PROPRIETARY,-999,90,NOT AVAILABLE,Y,77338,363,65799.0705155,-1167696.93439,POINT (-95.2773292999996 29.993735220000108)
14087,0033177339,HCA HOUSTON HEALTHCARE KINGWOOD,22999 US HIGHWAY 59,KINGWOOD,TX,77339,NOT AVAILABLE,(281) 348-8001,GENERAL ACUTE CARE,OPEN,457,MONTGOMERY,48339,USA,30.050068480000046,-95.25507557999998,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY/OTHER,2014-02-10,NOT AVAILABLE,675,NOT AVAILABLE,48,PROPRIETARY,-999,457,LEVEL III,Y,77338,363,65799.0705155,-1167696.93439,POINT (-95.25507558000011 30.050068480000036)
14136,0196784219,KINGWOOD EMERGENCY HOSPITAL,23330 HIGHWAY 59 N,KINGWOOD,TX,77339,NOT AVAILABLE,(832) 777-6165,SPECIAL,OPEN,6,MONTGOMERY,48339,USA,30.054502400000047,-95.24991809999995,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY/OTHER,2022-04-01,NOT AVAILABLE,100416,NOT AVAILABLE,48,PROPRIETARY,-999,6,NOT AVAILABLE,N,77338,363,65799.0705155,-1167696.93439,POINT (-95.24991809999987 30.05450240000008)
14189,0029877091,MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,NOT AVAILABLE,(281) 540-7700,GENERAL ACUTE CARE,OPEN,242,HARRIS,48201,USA,29.99551204000005,-95.27612888999994,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY,2014-03-12,http://www.memorialhermann.org/locations/northeast/,8471,NOT AVAILABLE,48,NON-PROFIT,-999,242,NOT AVAILABLE,Y,77338,363,65799.0705155,-1167696.93439,POINT (-95.27612888999998 29.99551204000003)
14195,0032877339,MEMORIAL HERMANN SPECIALTY HOSPITAL KINGWOOD LLC,300 KINGWOOD MEDICAL DRIVE,KINGWOOD,TX,77339,NOT AVAILABLE,(281) 312-4000,GENERAL ACUTE CARE,OPEN,10,MONTGOMERY,48339,USA,30.047943840000073,-95.25908590999995,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY/OTHER,2014-02-04,http://www.memorialhermannkingwood.com,8591,NOT AVAILABLE,48,PROPRIETARY,-999,10,NOT AVAILABLE,N,77338,363,65799.0705155,-1167696.93439,POINT (-95.25908590999997 30.04794384000006)
14265,0138577338,PAM REHABILITATION HOSPITAL OF HUMBLE,18839 MCKAY BLVD,HUMBLE,TX,77338,NOT AVAILABLE,(281) 964-6600,REHABILITATION,OPEN,46,HARRIS,48201,USA,29.992068200000062,-95.27901499999996,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY/OTHER,2022-04-01,NOT AVAILABLE,100301,NOT AVAILABLE,48,PROPRIETARY,-999,46,NOT AVAILABLE,N,77338,363,65799.0705155,-1167696.93439,POINT (-95.27901500000023 29.99206820000006)
14311,0030177338,SE TEXAS ER AND HOSPITAL,19211 MCKAY BLVD,HUMBLE,TX,77338,NOT AVAILABLE,(281) 883-5500,SPECIAL,OPEN,44,HARRIS,48201,USA,29.998675470000023,-95.27622265999997,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY/OTHER,2014-02-10,NOT AVAILABLE,100004,NOT AVAILABLE,48,PROPRIETARY,-999,44,NOT AVAILABLE,N,77338,363,65799.0705155,-1167696.93439,POINT (-95.27622266000041 29.998675470000055)
14422,0030277338,TOWNSEN MEMORIAL HOSPITAL,1475 FM 1960 BYPASS E,HUMBLE,TX,77338,NOT AVAILABLE,(281) 369-9001,GENERAL ACUTE CARE,OPEN,5,HARRIS,48201,USA,30.004777130000036,-95.25247829999995,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY/OTHER,2014-02-04,NOT AVAILABLE,100396,NOT AVAILABLE,48,PROPRIETARY,-999,5,NOT AVAILABLE,N,77338,363,65799.0705155,-1167696.93439,POINT (-95.25247829999962 30.00477713000004)
14505,0032677339,KINGWOOD PINES HOSPITAL,2001 LADBROOK DRIVE,KINGWOOD,TX,77339,NOT AVAILABLE,(281) 404-1001,PSYCHIATRIC,OPEN,116,HARRIS,48201,USA,30.044497620000072,-95.22998413999994,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY,2014-02-10,http://www.kingwoodpines.com,8186,NOT AVAILABLE,48,PROPRIETARY,-999,116,NOT AVAILABLE,N,77338,363,65799.0705155,-1167696.93439,POINT (-95.22998413999984 30.044497620000108)
16160,0196785090,DEERBROOK EMERGENCY HOSPITAL,8901 FM 1960 BYPASS RD W SUITE 105,HUMBLE,TX,77338,NOT AVAILABLE,(281) 964-2900,GENERAL ACUTE CARE,OPEN,4,HARRIS,48201,USA,30.00649173200003,-95.28967677099998,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.hhs.texas.gov/providers/health-care-facilities-regulation,2024-03-08,IMAGERY/OTHER,2024-05-22,NOT AVAILABLE,100332,NOT AVAILABLE,48,NOT AVAILABLE,-999,4,NOT AVAILABLE,N,77338,363,65799.0705155,-1167696.93439,POINT (-95.28967677099956 30.006491732)
